qseqid,sseqid,pident,length,mismatch,gapopen,qlen,slen,qstart,qend,sstart,send,evalue,bitscore,similarity
115302|P09503|29-84,tr|B3KV46|B3KV46_HUMAN,81.818,55,10,0,56,187,2,56,30,84,7.580000000000001e-27,97.1,80.35696428571428
115302|P09503|29-84,sp|Q86XF0|DYR2_HUMAN,81.818,55,10,0,56,187,2,56,30,84,2.5e-26,95.5,80.35696428571428
115303|P09503|57-112,tr|B4DM58|B4DM58_HUMAN,87.5,56,7,0,56,129,1,56,57,112,2.63e-30,103.0,87.5
115303|P09503|57-112,tr|B0YJ76|B0YJ76_HUMAN,87.5,56,7,0,56,187,1,56,57,112,2.0100000000000002e-29,103.0,87.5
115303|P09503|57-112,sp|P00374|DYR_HUMAN,87.5,56,7,0,56,187,1,56,57,112,2.0100000000000002e-29,103.0,87.5
115303|P09503|57-112,tr|C9JJ68|C9JJ68_HUMAN,85.714,56,8,0,56,114,1,56,57,112,1.5e-28,99.0,85.714
115303|P09503|57-112,tr|B3KV46|B3KV46_HUMAN,85.714,56,8,0,56,187,1,56,57,112,2.75e-28,100.0,85.714
115303|P09503|57-112,sp|Q86XF0|DYR2_HUMAN,85.714,56,8,0,56,187,1,56,57,112,6.69e-28,99.8,85.714
115304|P09503|85-140,tr|B0YJ76|B0YJ76_HUMAN,87.037,54,7,0,56,187,3,56,87,140,4.07e-29,102.0,83.92853571428572
115304|P09503|85-140,sp|P00374|DYR_HUMAN,87.037,54,7,0,56,187,3,56,87,140,4.07e-29,102.0,83.92853571428572
115304|P09503|85-140,tr|B3KV46|B3KV46_HUMAN,83.333,54,9,0,56,187,3,56,87,140,1.71e-26,95.9,80.35682142857142
115304|P09503|85-140,sp|Q86XF0|DYR2_HUMAN,83.333,54,9,0,56,187,3,56,87,140,1.82e-26,95.9,80.35682142857142
115305|P09503|113-168,tr|B0YJ76|B0YJ76_HUMAN,83.929,56,9,0,56,187,1,56,113,168,1.13e-28,101.0,83.929
115305|P09503|113-168,sp|P00374|DYR_HUMAN,83.929,56,9,0,56,187,1,56,113,168,1.13e-28,101.0,83.929
115305|P09503|113-168,tr|B3KV46|B3KV46_HUMAN,78.571,56,12,0,56,187,1,56,113,168,1.63e-25,93.6,78.571
115305|P09503|113-168,sp|Q86XF0|DYR2_HUMAN,78.571,56,12,0,56,187,1,56,113,168,1.95e-25,93.2,78.571
115306|P09503|141-187,tr|B0YJ76|B0YJ76_HUMAN,86.957,46,6,0,47,187,1,46,141,186,1.97e-21,82.8,85.10685106382978
115306|P09503|141-187,sp|P00374|DYR_HUMAN,86.957,46,6,0,47,187,1,46,141,186,1.97e-21,82.8,85.10685106382978
115306|P09503|141-187,tr|B3KV46|B3KV46_HUMAN,78.261,46,10,0,47,187,1,46,141,186,7.32e-17,70.9,76.59587234042553
115306|P09503|141-187,sp|Q86XF0|DYR2_HUMAN,78.261,46,10,0,47,187,1,46,141,186,8.15e-17,70.9,76.59587234042553
115491|P22573|1-56,tr|B4DM58|B4DM58_HUMAN,77.193,57,12,1,56,129,1,56,1,57,1.03e-23,87.4,78.57144642857142
115491|P22573|1-56,tr|B0YJ76|B0YJ76_HUMAN,77.193,57,12,1,56,187,1,56,1,57,2.95e-23,87.8,78.57144642857142
115491|P22573|1-56,sp|P00374|DYR_HUMAN,77.193,57,12,1,56,187,1,56,1,57,2.95e-23,87.8,78.57144642857142
115491|P22573|1-56,tr|C9JJ68|C9JJ68_HUMAN,75.439,57,13,1,56,114,1,56,1,57,5.03e-23,85.1,76.78612499999998
115491|P22573|1-56,tr|B3KV46|B3KV46_HUMAN,75.439,57,13,1,56,187,1,56,1,57,1.3800000000000001e-22,85.9,76.78612499999998
115491|P22573|1-56,sp|Q86XF0|DYR2_HUMAN,75.439,57,13,1,56,187,1,56,1,57,1.56e-22,85.9,76.78612499999998
115492|P22573|29-84,tr|C9JJ68|C9JJ68_HUMAN,80.357,56,10,1,56,114,2,56,30,85,2.77e-26,93.6,80.357
115492|P22573|29-84,tr|B3KV46|B3KV46_HUMAN,80.357,56,10,1,56,187,2,56,30,85,5.75e-26,94.7,80.357
115492|P22573|29-84,tr|B4DM58|B4DM58_HUMAN,80.357,56,10,1,56,129,2,56,30,85,1.45e-25,92.0,80.357
115492|P22573|29-84,sp|Q86XF0|DYR2_HUMAN,80.357,56,10,1,56,187,2,56,30,85,1.52e-25,93.6,80.357
115492|P22573|29-84,tr|B0YJ76|B0YJ76_HUMAN,80.357,56,10,1,56,187,2,56,30,85,8.7e-25,91.7,80.357
115492|P22573|29-84,sp|P00374|DYR_HUMAN,80.357,56,10,1,56,187,2,56,30,85,8.7e-25,91.7,80.357
115493|P22573|57-112,tr|C9JJ68|C9JJ68_HUMAN,82.143,56,10,0,56,114,1,56,58,113,1.3800000000000002e-27,96.7,82.143
115493|P22573|57-112,tr|B3KV46|B3KV46_HUMAN,82.143,56,10,0,56,187,1,56,58,113,2.6200000000000003e-27,98.2,82.143
115493|P22573|57-112,tr|B4DM58|B4DM58_HUMAN,82.143,56,10,0,56,129,1,56,58,113,3.5e-27,96.3,82.143
115493|P22573|57-112,sp|Q86XF0|DYR2_HUMAN,82.143,56,10,0,56,187,1,56,58,113,7.67e-27,97.1,82.143
115493|P22573|57-112,tr|B0YJ76|B0YJ76_HUMAN,82.143,56,10,0,56,187,1,56,58,113,1.91e-26,95.9,82.143
115493|P22573|57-112,sp|P00374|DYR_HUMAN,82.143,56,10,0,56,187,1,56,58,113,1.91e-26,95.9,82.143
115494|P22573|85-140,tr|B0YJ76|B0YJ76_HUMAN,82.143,56,10,0,56,187,1,56,86,141,7.81e-29,102.0,82.143
115494|P22573|85-140,sp|P00374|DYR_HUMAN,82.143,56,10,0,56,187,1,56,86,141,7.81e-29,102.0,82.143
115494|P22573|85-140,tr|B3KV46|B3KV46_HUMAN,80.357,56,11,0,56,187,1,56,86,141,1.09e-27,99.0,80.357
115494|P22573|85-140,sp|Q86XF0|DYR2_HUMAN,80.357,56,11,0,56,187,1,56,86,141,1.1300000000000002e-27,99.0,80.357
115495|P22573|113-168,tr|B0YJ76|B0YJ76_HUMAN,78.571,56,12,0,56,187,1,56,114,169,8.090000000000001e-27,97.1,78.571
115495|P22573|113-168,sp|P00374|DYR_HUMAN,78.571,56,12,0,56,187,1,56,114,169,8.090000000000001e-27,97.1,78.571
115495|P22573|113-168,tr|B3KV46|B3KV46_HUMAN,76.786,56,13,0,56,187,1,56,114,169,1.66e-25,93.6,76.786
115495|P22573|113-168,sp|Q86XF0|DYR2_HUMAN,76.786,56,13,0,56,187,1,56,114,169,2.02e-25,93.2,76.786
115688|P24916|57-112,sp|Q16552|IL17_HUMAN,89.286,56,6,0,56,155,1,56,61,116,5.6199999999999996e-34,114.0,89.286
115688|P24916|57-112,tr|Q6NZ94|Q6NZ94_HUMAN,89.286,56,6,0,56,155,1,56,61,116,6.01e-34,114.0,89.286
115689|P24916|85-140,sp|Q16552|IL17_HUMAN,82.143,56,10,0,56,155,1,56,89,144,2.3000000000000002e-29,102.0,82.143
115689|P24916|85-140,tr|Q6NZ94|Q6NZ94_HUMAN,80.357,56,11,0,56,155,1,56,89,144,2.04e-28,100.0,80.357
118005|Q9DSS3|29-84,tr|B4DM58|B4DM58_HUMAN,76.786,56,12,1,56,129,2,56,30,85,1.4099999999999999e-24,89.4,76.786
118005|Q9DSS3|29-84,tr|C9JJ68|C9JJ68_HUMAN,75.0,56,13,1,56,114,2,56,30,85,1.94e-24,88.6,75.0
118005|Q9DSS3|29-84,tr|B3KV46|B3KV46_HUMAN,75.0,56,13,1,56,187,2,56,30,85,3.0499999999999998e-24,90.1,75.0
118005|Q9DSS3|29-84,tr|B0YJ76|B0YJ76_HUMAN,76.786,56,12,1,56,187,2,56,30,85,6.22e-24,89.4,76.786
118005|Q9DSS3|29-84,sp|P00374|DYR_HUMAN,76.786,56,12,1,56,187,2,56,30,85,6.22e-24,89.4,76.786
118005|Q9DSS3|29-84,sp|Q86XF0|DYR2_HUMAN,75.0,56,13,1,56,187,2,56,30,85,7.559999999999999e-24,89.4,75.0
118006|Q9DSS3|57-112,tr|B4DM58|B4DM58_HUMAN,83.929,56,9,0,56,129,1,56,58,113,9.5e-29,100.0,83.929
118006|Q9DSS3|57-112,tr|C9JJ68|C9JJ68_HUMAN,82.143,56,10,0,56,114,1,56,58,113,3.68e-28,98.2,82.143
118006|Q9DSS3|57-112,tr|B0YJ76|B0YJ76_HUMAN,83.929,56,9,0,56,187,1,56,58,113,6.98e-28,99.8,83.929
118006|Q9DSS3|57-112,sp|P00374|DYR_HUMAN,83.929,56,9,0,56,187,1,56,58,113,6.98e-28,99.8,83.929
118006|Q9DSS3|57-112,tr|B3KV46|B3KV46_HUMAN,82.143,56,10,0,56,187,1,56,58,113,7.54e-28,99.4,82.143
118006|Q9DSS3|57-112,sp|Q86XF0|DYR2_HUMAN,82.143,56,10,0,56,187,1,56,58,113,2e-27,98.6,82.143
118007|Q9DSS3|85-140,tr|B0YJ76|B0YJ76_HUMAN,83.636,55,9,0,56,187,2,56,87,141,9.09e-29,101.0,82.1425
118007|Q9DSS3|85-140,sp|P00374|DYR_HUMAN,83.636,55,9,0,56,187,2,56,87,141,9.09e-29,101.0,82.1425
118007|Q9DSS3|85-140,tr|B3KV46|B3KV46_HUMAN,80.0,55,11,0,56,187,2,56,87,141,8.640000000000001e-27,96.7,78.57142857142857
118007|Q9DSS3|85-140,sp|Q86XF0|DYR2_HUMAN,80.0,55,11,0,56,187,2,56,87,141,9.22e-27,96.7,78.57142857142857
118008|Q9DSS3|113-168,tr|B0YJ76|B0YJ76_HUMAN,82.143,56,10,0,56,187,1,56,114,169,7.87e-28,99.4,82.143
118008|Q9DSS3|113-168,sp|P00374|DYR_HUMAN,82.143,56,10,0,56,187,1,56,114,169,7.87e-28,99.4,82.143
118008|Q9DSS3|113-168,tr|B3KV46|B3KV46_HUMAN,78.571,56,12,0,56,187,1,56,114,169,2.27e-25,93.2,78.571
118008|Q9DSS3|113-168,sp|Q86XF0|DYR2_HUMAN,78.571,56,12,0,56,187,1,56,114,169,3.11e-25,92.8,78.571
15147|F6KMB9|1-56,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,75.0,56,14,0,56,536,1,56,392,447,4.82e-25,97.1,75.0
16487|G5CIL7|1-56,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,80.357,56,11,0,56,536,1,56,27,82,1.1499999999999999e-24,95.9,80.357
16488|G5CIL7|29-84,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,80.702,57,10,1,56,536,1,56,55,111,3.77e-24,94.4,82.14310714285713
16489|G5CIL7|57-112,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,83.333,54,9,0,56,536,3,56,86,139,7.23e-27,102.0,80.35682142857142
16490|G5CIL7|85-140,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,79.63,54,11,0,56,536,1,54,112,165,3.95e-27,102.0,76.78607142857143
16491|G5CIL7|113-168,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,82.143,56,10,0,56,536,1,56,140,195,9.320000000000001e-29,107.0,82.143
16492|G5CIL7|141-196,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,78.571,56,12,0,56,536,1,56,168,223,7.74e-25,96.3,78.571
16493|G5CIL7|169-224,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,78.571,56,12,0,56,536,1,56,196,251,4.2099999999999995e-24,94.4,78.571
16494|G5CIL7|197-252,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,92.857,56,4,0,56,536,1,56,224,279,7.160000000000001e-33,118.0,92.857
16495|G5CIL7|225-280,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,85.714,56,8,0,56,536,1,56,252,307,4.8600000000000004e-32,116.0,85.714
16497|G5CIL7|281-336,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,82.143,56,10,0,56,536,1,56,310,365,1.75e-27,103.0,82.143
16498|G5CIL7|309-364,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,78.571,56,12,0,56,536,1,56,338,393,1.5500000000000002e-26,100.0,78.571
16499|G5CIL7|337-392,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,75.0,56,14,0,56,536,1,56,366,421,2.9199999999999998e-24,94.7,75.0
16500|G5CIL7|365-420,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,82.143,56,10,0,56,536,1,56,394,449,8.23e-28,104.0,82.143
16501|G5CIL7|393-448,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,83.929,56,9,0,56,536,1,56,422,477,4.23e-28,105.0,83.929
16502|G5CIL7|421-476,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,83.929,56,9,0,56,536,1,56,450,505,2.82e-27,103.0,83.929
16968|G9I2T0|57-112,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,75.0,56,14,0,56,536,1,56,401,456,9.509999999999999e-24,93.2,75.0
17286|O11336|29-63,tr|A0A994J7E8|A0A994J7E8_HUMAN,85.714,35,5,0,35,51,1,35,14,48,4.22e-15,62.4,85.714
17286|O11336|29-63,tr|X5DQZ7|X5DQZ7_HUMAN,85.714,35,5,0,35,46,1,35,12,46,5.69e-15,62.0,85.714
17286|O11336|29-63,tr|X5D926|X5D926_HUMAN,85.714,35,5,0,35,48,1,35,14,48,5.93e-15,62.0,85.714
17286|O11336|29-63,tr|A0A7I2YMD7|A0A7I2YMD7_HUMAN,85.714,35,5,0,35,104,1,35,14,48,2.97e-14,61.6,85.714
17286|O11336|29-63,tr|A0A994J4K6|A0A994J4K6_HUMAN,85.714,35,5,0,35,122,1,35,14,48,3.11e-14,62.0,85.714
17286|O11336|29-63,tr|A0A994J707|A0A994J707_HUMAN,85.714,35,5,0,35,124,1,35,14,48,5.35e-14,61.6,85.714
17286|O11336|29-63,tr|A0A7I2UQ36|A0A7I2UQ36_HUMAN,85.714,35,5,0,35,170,1,35,14,48,1.67e-13,61.2,85.714
17286|O11336|29-63,tr|A0A994J702|A0A994J702_HUMAN,85.714,35,5,0,35,190,1,35,14,48,1.76e-13,61.6,85.714
17286|O11336|29-63,tr|A0A994J430|A0A994J430_HUMAN,85.714,35,5,0,35,202,1,35,14,48,2.12e-13,61.6,85.714
17286|O11336|29-63,tr|Q7L4Q3|Q7L4Q3_HUMAN,85.714,35,5,0,35,203,1,35,14,48,2.22e-13,61.6,85.714
17286|O11336|29-63,sp|P07203|GPX1_HUMAN,85.714,35,5,0,35,203,1,35,14,48,2.22e-13,61.6,85.714
17390|O11386|57-112,tr|A0A590UK12|A0A590UK12_HUMAN,83.636,55,9,0,56,139,1,55,8,62,1.34e-28,100.0,82.1425
17390|O11386|57-112,tr|Q71UZ1|Q71UZ1_HUMAN,83.636,55,9,0,56,160,1,55,29,83,4.09e-28,99.4,82.1425
17390|O11386|57-112,tr|Q6FGS9|Q6FGS9_HUMAN,83.636,55,9,0,56,178,1,55,47,101,5.96e-28,99.4,82.1425
17390|O11386|57-112,tr|Q6FGW4|Q6FGW4_HUMAN,85.185,54,8,0,56,178,1,54,47,100,7.17e-28,99.4,82.14267857142858
17390|O11386|57-112,sp|P22301|IL10_HUMAN,85.185,54,8,0,56,178,1,54,47,100,7.17e-28,99.4,82.14267857142858
17391|O11386|85-140,tr|A0A590UK12|A0A590UK12_HUMAN,92.0,50,4,0,56,139,1,50,36,85,2.63e-20,79.0,82.14285714285715
17391|O11386|85-140,tr|Q71UZ1|Q71UZ1_HUMAN,92.0,50,4,0,56,160,1,50,57,106,7.52e-20,78.2,82.14285714285715
17391|O11386|85-140,tr|Q6FGW4|Q6FGW4_HUMAN,92.0,50,4,0,56,178,1,50,75,124,1.33e-19,78.2,82.14285714285715
17391|O11386|85-140,sp|P22301|IL10_HUMAN,92.0,50,4,0,56,178,1,50,75,124,1.33e-19,78.2,82.14285714285715
17392|O11386|113-168,tr|Q6FGS9|Q6FGS9_HUMAN,85.714,56,8,0,56,178,1,56,103,158,5.93e-19,76.6,85.714
17392|O11386|113-168,tr|A0A286YEX3|A0A286YEX3_HUMAN,87.5,56,7,0,56,93,1,56,18,73,1.07e-17,70.9,87.5
17392|O11386|113-168,tr|A0A590UK12|A0A590UK12_HUMAN,87.5,56,7,0,56,139,1,56,64,119,4.2e-17,70.9,87.5
17392|O11386|113-168,tr|Q71UZ1|Q71UZ1_HUMAN,87.5,56,7,0,56,160,1,56,85,140,7.82e-17,70.5,87.5
17392|O11386|113-168,tr|Q6FGW4|Q6FGW4_HUMAN,87.5,56,7,0,56,178,1,56,103,158,1.6e-16,70.1,87.5
17392|O11386|113-168,sp|P22301|IL10_HUMAN,87.5,56,7,0,56,178,1,56,103,158,1.6e-16,70.1,87.5
17393|O11386|141-186,tr|A0A286YEX3|A0A286YEX3_HUMAN,82.609,46,8,0,46,93,1,46,46,91,5.999999999999999e-23,84.0,82.609
17393|O11386|141-186,tr|A0A590UK12|A0A590UK12_HUMAN,82.609,46,8,0,46,139,1,46,92,137,1.64e-22,84.0,82.609
17393|O11386|141-186,tr|Q71UZ1|Q71UZ1_HUMAN,82.609,46,8,0,46,160,1,46,113,158,2.88e-22,84.0,82.609
17393|O11386|141-186,tr|Q6FGS9|Q6FGS9_HUMAN,82.609,46,8,0,46,178,1,46,131,176,3.3700000000000003e-22,84.3,82.609
17393|O11386|141-186,tr|Q6FGW4|Q6FGW4_HUMAN,82.609,46,8,0,46,178,1,46,131,176,3.56e-22,84.3,82.609
17393|O11386|141-186,sp|P22301|IL10_HUMAN,82.609,46,8,0,46,178,1,46,131,176,3.56e-22,84.3,82.609
17455|O12164|57-112,tr|A0A0M3KKW8|A0A0M3KKW8_HUMAN,82.143,56,10,0,56,353,1,56,15,70,2.8e-28,104.0,82.143
17460|O12164|197-252,tr|A0A0M3KKW8|A0A0M3KKW8_HUMAN,80.357,56,11,0,56,353,1,56,83,138,3.87e-28,103.0,80.357
17461|O12164|225-280,tr|A0A0M3KKW8|A0A0M3KKW8_HUMAN,83.929,56,9,0,56,353,1,56,111,166,1.93e-26,99.4,83.929
17462|O12164|253-308,tr|A0A0M3KKW8|A0A0M3KKW8_HUMAN,89.362,47,5,0,56,353,1,47,139,185,8.64e-21,84.0,75.00025
1796|A7XCI9|85-140,tr|K7ERJ1|K7ERJ1_HUMAN,80.357,56,11,0,56,187,1,56,106,161,3.62e-25,92.8,80.357
1796|A7XCI9|85-140,tr|K7ES52|K7ES52_HUMAN,80.357,56,11,0,56,180,1,56,98,153,4.29e-25,92.4,80.357
1796|A7XCI9|85-140,tr|A0A384MDV9|A0A384MDV9_HUMAN,80.357,56,11,0,56,234,1,56,98,153,2.08e-24,91.7,80.357
1796|A7XCI9|85-140,sp|P04183|KITH_HUMAN,80.357,56,11,0,56,234,1,56,98,153,2.08e-24,91.7,80.357
1796|A7XCI9|85-140,tr|B5BUF9|B5BUF9_HUMAN,80.357,56,11,0,56,234,1,56,98,153,2.1e-24,91.7,80.357
1796|A7XCI9|85-140,tr|B5BU32|B5BU32_HUMAN,80.357,56,11,0,56,234,1,56,98,153,2.1699999999999997e-24,91.7,80.357
1796|A7XCI9|85-140,tr|K7ERV3|K7ERV3_HUMAN,80.357,56,11,0,56,267,1,56,98,153,5.4499999999999996e-24,91.3,80.357
18292|O41803|57-112,tr|A0A0M3KKW8|A0A0M3KKW8_HUMAN,83.929,56,9,0,56,353,1,56,15,70,5.470000000000001e-29,105.0,83.929
18297|O41803|197-252,tr|A0A0M3KKW8|A0A0M3KKW8_HUMAN,82.143,56,10,0,56,353,1,56,83,138,6.880000000000001e-29,105.0,82.143
18298|O41803|225-280,tr|A0A0M3KKW8|A0A0M3KKW8_HUMAN,83.929,56,9,0,56,353,1,56,111,166,1.15e-26,99.8,83.929
18303|O41803|365-420,tr|A0A0M3KKW8|A0A0M3KKW8_HUMAN,70.492,61,13,2,56,353,1,56,236,296,3.1e-20,82.8,76.78592857142857
18489|O56300|1065-1120,tr|A0A126LB25|A0A126LB25_HUMAN,78.182,55,12,0,56,1459,1,55,1318,1372,7.249999999999999e-24,93.6,76.78589285714285
18606|O56932|57-103,tr|Q9Y4Y5|Q9Y4Y5_HUMAN,76.596,47,11,0,47,536,1,47,111,157,9.569999999999999e-23,90.1,76.596
18642|O57175|29-84,tr|A0A286YFD6|A0A286YFD6_HUMAN,76.786,56,13,0,56,374,1,56,97,152,1.93e-24,94.4,76.786
18642|O57175|29-84,tr|Q6AI41|Q6AI41_HUMAN,76.786,56,13,0,56,297,1,56,5,60,2.49e-24,92.8,76.786
18642|O57175|29-84,tr|B3KS26|B3KS26_HUMAN,76.786,56,13,0,56,297,1,56,5,60,2.86e-24,92.8,76.786
18642|O57175|29-84,sp|Q7LG56|RIR2B_HUMAN,76.786,56,13,0,56,351,1,56,59,114,4.81e-24,92.8,76.786
18642|O57175|29-84,sp|P31350|RIR2_HUMAN,76.786,56,13,0,56,389,1,56,97,152,4.85e-24,93.2,76.786
18642|O57175|29-84,tr|A0A7P0SBL1|A0A7P0SBL1_HUMAN,76.786,56,13,0,56,339,1,56,47,102,5.07e-24,92.8,76.786
18642|O57175|29-84,tr|H0YAV1|H0YAV1_HUMAN,76.786,56,13,0,56,408,1,56,116,171,9.6e-24,92.8,76.786
18643|O57175|57-112,tr|A0A286YFD6|A0A286YFD6_HUMAN,89.286,56,6,0,56,374,1,56,125,180,1.4399999999999998e-30,110.0,89.286
18643|O57175|57-112,tr|B3KS26|B3KS26_HUMAN,89.286,56,6,0,56,297,1,56,33,88,2.5000000000000002e-29,105.0,89.286
18643|O57175|57-112,tr|A0A7P0SBL1|A0A7P0SBL1_HUMAN,89.286,56,6,0,56,339,1,56,75,130,3.73e-29,106.0,89.286
